Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
MD-12260 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,MD-12260,190,270,7,7893095422375
PEI-M003 - CAIXA DE SOM SEM FIO BOLINHA PEINING,PEI-M003,20,30,7,8220230807121
KM-FON-6527 - KIT GAMER,KM-FON-6527,130,180,7,7893590428650
LILYMAX-0003/05/04/07/12/06 - CARREGADOR LILYMAX 6.1A V8,LILYMAX-0003,6,0,7,8923656057513
CAR-3236C - CARREGADOR RAPIDO INOVA TIPO C 4.8A,CAR-3236C,11,25,7,7899085711061
EXTENSÃO BARRA 5 METROS GROSSO 2P+P+T BRASFLEX,EXTENSÃO 5 METROS GROSSO,17,30,7,
SEL-8548 - BASTÃO DE SELFIE,SEL-8548,14,25,7,7893590428674
CBO-9866 - CABO IPH INOVA,CBO-9866,5,10,7,7899085125226
MIC-20439 - MICROFONE INOVA,MIC-20439,32,55,7,7893095423051
FAN-6991 - MINI VENTILADOR,FAN-6991,12,20,7,7893590425420
FECHADURA PARA BICICLETAS KA-5703,KA-5703,35,50,8,7897700057037
KV-9789 - MINI CAIXA DE SOM,KV-9789,90,130,8,7899085124502
RAD-8629 - MINI CAIXA DE SOM INOVA,RAD-8629,30,50,8,7908346248458
CAR-5268C 5.1A CARREGADOR RÁPIDO,CAR-5268C 5.1A,12.5,25,8,7899085590864
PEI-EP312 - FONE DE OUVIDO C/FIO PEINING,PEI-EP312,9,18,8,7894256987467
L09 - ESTABILIZADOR GIMBAL BASTÃO DE SELFIE,L09,160,230,8,7893008814839
AL-21-TY - CABO OTG PARA TIPO C,AL-21-TY,2.8,7,8,8836561321597
KA-918 - POWER BANK 10.000MAH,KA-918,60,100,8,7897758859188
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
FON-20418 - FONE DE OUVIDO V5.1 NEWEST,FON-20418,28,55,8,1000001250861
LE-1019 - CABO PARA PS2,LE-1019,5,10,8,7898605602513
D-822 - FONTE CHAVEADA 12V 10A,D-822,40,70,8,
WATCH8 ULTRA - RELOGIO SMART,WATCH8 ULTRA,100,160,8,
KA-326-V8 - CABO KAPBOM V8 4.8A,KA-326-V8,4.8,10,8,7895586032612
MD-30259 SUPORTE DE FORNO MICROONDAS EXTENSÍVEL,MD-30259,50,80,8,7893095422825
NÍVEL A LASER COM 5 LINHAS IT BLUE,LE-1812,240,290,9,7908125207676
WU-088 GARRAFA TERMICA,WU-088,30,45,9,7899085713614
KA-1038 MINI LASER DE PALCO,KA-1038,55,80,9,7897717510389
CAR-3305S - CARREGADOR V8 INOVA 5.1A,CAR-3305S,11,25,9,7899085712082
PEI-261 BT- CAIXA DE SOM SEM FIO PEINING,PEI-261 BT,95,135,9,7893008896873
KA-323-V8 - CABO KAPBOM V8 TURBO 1M,KA-323-V8,5,10,9,7895586032315
CHAR-11049 - CARREGADOR INDUÇÃO,CHAR-11049,20,0,9,
CAM-7269 - CAMERA DE SEGURANÇA,CAM-7269,75,110,9,7897473118119
PENDRIVE 16GB UTECH,16GB-UTECH,16,25,9,7898931591116
LE-9015 800 AMP CABO DE CHUPETA AUTOMOTIVO,LE-9015 800AMP,35,50,10,7898605601479
SC-1406 LOUSA LUMINOSA 40X60 CM,LOUSA-SC1406,120,160,10,1100000126713
PEI-WS10- CARREGADOR SEM FIO 5 EM 1,PEI-WS10,140,200,10,7893008812651
LE-3623 - SUPORTE DE MESA P/ PROJETOR,LE-3623,100,170,10,7908125207454
CON-8417 - CONTROLE SEM FIO,CON-8417,60,100,10,7893590160949
KEY-8774 - TECLADO GAMER,KEY-8774,50,80,10,7893595554811
KEY-8389 - TECLADO USB S/ FIO INOVA,KEY-8389,52,80,10,7908124297173
CBO-9825 - CABO DE SAQUINHO TIPO C 1M,CBO-9825,3.5,8,10,7899085591120
RAD-12299 - RÁDIO INOVA,RAD-12299,330,450,10,7893095422061
KA-C051 - SUPORTE RETROVISOR,KA-C051,20,30,10,7898889870516
AUTO-1500VA - AUTO TRANSFORMADOR UNIVERSAL BIVOLT,AUTO-1500VA,180,250,10,
MD-30258 SUPORTE DE TETO PARA PROJETOR MULTIFUNCIONAL,MD-30258,60,90,10,7893095422788
LE-1958 BOMBA DE AR PEDAL ALTA PRESSÃO,LE-1958,28,40,11,7908125203548
GARRAFA TÉRMICA KA-0133,KA-0133,35,50,11,7897701332607
WU-063 GARRAFA DE AGUA 3 EM 1 COLORIDA,WU-063,15,35,11,1100000104476
WS-389 - CARRO CAIXA DE SOM KAPBOM,WS-389,115,160,11,7897723013898
RAD-9024 - MINI CAIXA DE SOM AMPLIFICADA PORTÁTIL INOVA,RAD-9024,25,40,11,7908346225275
MD-12270 - CAIXA DE SOM BLUETOOTH ALTO FALANTE MULTIMÍDIA,MD-12270,110,170,11,7893095421774
WUP-951A - POWER BANK MÚLTIPLAS SAÍDAS 10000MAH PEINING,WUP-951A,55,85,11,7869029029514
EL-1903 - SUPORTE DE CELULAR PARA MOTO COM PROTEÇÃO CONTRA ÁGUA,EL-1903,22,35,11,7891123019030
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
BA-MD-12344 - MOCHILA DE COSTAS,BA-MD-12344,55,90,11,7893095510379
K35 - MICROFONE LAPELA P2,K35,65,110,11,
CELL-11068 - PILHA LR44 CARTELA C/10 BATERIAS,CELL-11068,5,10,11,7899085489847
COS-660 - FONE DE OUVIDO TUNE 600 BT,COS-660,42,0,11,
BA-RAD016 - RÁDIO BLUETOOTH BASIKE,BA-RAD016,280,400,11,7893095511581
LE-1975 - COMPRESSOR DE AR PORTÁTIL,LE-1975,76,125,12,7908125203616
RAD-8657 - RADIO INOVA,RAD-8657,70,100,12,7908346264458
MAX-0536 - CARREGADOR PORTÁTIL 10.000MAH,MAX-0536,75,100,12,7908125206907
LE-025 - SUPORTE UNIVERSAL,LE-025,20,35,12,7898605602452
FON-7426 - FONE DE OUVIDO EAR DE GATO,FON-7426,50,80,12,7893590427745
A5339 - CANETA 3D 3DPEN-10,A5339,60,90,12,7908575505339
W59 - RELOGIO SMART (9 PRO),W59 (9 PRO),130,250,12,
MD-12271 AUTO FALANTE MULTIMIDIA,MD-12271,110,175,12,7893095421781
KA-7031 RELÓGIO DE PAREDE,KA-7031,120,180,12,
CADEADO PARA MOTO KA-5707,KA-5707,14,25,13,7897700057075
CAIXA DE SOM BOOMSBOX LED KA-0011,KA-0011-BOOMSBOX,190,250,13,1100000085973
JT-8181 CÂMERA DE SEGURANÇA SOLAR SMART,JT-8181,280,360,13,7891942581817
PEI-S501 CAIXA DE SOM BLUETOOTH,PEI-S501,50,80,13,1000000593310
BL-C71-P50 MINI LANTERNA,BL-C71-P50,11,20,13,1000000594447
PEI-WS09 CARREGADOR DE INDUÇÃO C/RELÓGIO SEM FIO 3EM 1,PEI-WS09,150,210,13,7893008811876
COLCHÃO INFLÁVEL SOF-7251,SOF-7251,30,50,13,1000000622607
RAD-9026 - RÁDIO INOVA,RAD-9026,25,50,13,7908346225299
PEI-P715 - FONE DE OUVIDO BLUETOOTH PEINING,PEI-P715,32,55,13,8888154417156
MD-12258 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,MD-12258,135,190,13,7893095422351
RAD-11114 - RÁDIO SEM FIO MINI CAIXA DE SOM,RAD-11114,100,150,13,7899085714390
S7500 - CAIXA DE SOM BLUETOOTH SOONBOX,S7500,80,120,13,1000000946901
DVR-7282 - DVR INOVA 16 CANAIS,DVR-7282,530,670,13,7897473118195
LE-1843 VENTOSA DUPLA,LE-1843,38,55,14,7908125209298
LE-1991 CAIXA DE FERRAMENTAS C/12 PEÇAS,LE-1991,40,55,14,7908125207270
KA-1396 PARAFUSADEIRA KAPBOM AMARELA,KA-1396,260,350,14,1100000035350
CAIXA DE SOM BOOMSBOX 3 RGB KA-0033,KA-0033,145,200,14,7897723613333
LM-2576-2 COPO MIX DE SHAKE,LM-2576-2,7,10,14,6934208020215
FA-1004 - GARRAFA ESPORTIVA C/ BURRIFADOR 600ML-1,FA-1004 -600-1 ML,9,12,14,1000000555431
RAD-8628 - CAIXA DE SOM BLUETOOTH INOVA,RAD-8628,100,160,14,7908346248441
CUP-888 COPO TÉRMICO C/ NOME,CUP-888 BEER PINT,23,0,14,1000000588972
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
PEI-P691 - FONE DE OUVIDO TWS ORIGINAL ESTÉREO SEM FIO PEINING,PEI-P691,60,90,14,7893008813191
A1-90 - RÁDIO A-VISION,A1-90,70,110,14,8008217349198
PLAYER-5901 - RADIO AUTOMOTIVO AM/FM MP3,PLAYER-5901,85,130,14,7893590161397
MD-P204 - POWERBANK 20000 MAH,MD-P204,80,120,14,7899085714338
BA-FON-6747 - FONE DE OUVIDO DA BASIKE,BA-FON-6747,10,20,14,7899085126995
SL7013 - EXTENSÃO DE 3 TOMADAS,SL7013,14,22,14,7908124260214
KA-0022 - CAIXA DE SOM KAPBOM XERTMT (MAIOR),KA-0022,130,200,14,
KEY-7383 - MINI TECLADO,KEY-7383,22,35,14,
SUPORTE PARA FOGÃO E GELADEIRA KA-5678,KA-5678,48,70,15,7897775856788
KA-1320 MULTI PROCESSADOR DE ALIMENTOS GRANDE,KA-1320,55,80,15,7897758613209
HW-912 CHAPINHA PARA CABELO,HW-912,40,60,15,7908346200630
WUP-379 - CARREGADOR PORTÁTIL 20000MAH PEINING,WUP-379,115,175,15,7858552283791
CAR-9002C 5.1A TIPO C CARREGADOR INOVA 5.1A,CAR-9002C 5.1A,11,20,15,7899085713461
MD-12273 CONJUNTO DE FACAS REVESTIMENTO EM MÁRMORE COM 6 PEÇAS,MD-12273,38,60,15,7893095416718
ABQ-A1D CAMERA SMART,AB-Q-A1D,300,400,15,6920190524084
LE-906 - MICROFONE PROFISSIONAL DINÂMICO C/ MESA DE SOM,LE-906,320,450,15,7898605607228
FON-20341 - FONE DE OUVIDO INOVA,FON-20341,40,70,15,7899085713874
C-131 - SUPORTE MAGNÉTICO ALTOMEX,C-131,5,10,15,7908434964185
GO1PRO - CAIXA DE SOM,GO1PRO,42,0,15,
GARRAFA TÉRMICA CUP-12095,CUP-12095,30,50,16,1100000005773
A1-300 HUMIDIFICADOR DE AR,A1-300,52,75,16,7908575501300
WU-181 PISTOLA DE AGUA DE ALTA PRESSAO BATERIA DE LITIO,WU-181,150,200,16,1000000142211
WS-590 - CARRO CAIXA DE SOM COM RÁDIO USB/TF/FM KAPBOM,WS-590,95,130,16,7897723015908
HT-027 VENTILADOR ( AIR COOLER FAN),HT-027 VENTILADOR,45,65,16,7825080120270
S9100 - CAIXA DE SOM BLUETOOTH SOONBOX,S9100,82,120,16,1000001003481
VB-601 - CÂMERA BABÁ ELETRÔNICA,VB-601,320,450,16,6920221527120
KV-283 - CONTROLE DE VIDEO GAME,KV-283,25,45,16,7898070364527
KV-453 - LUMINÁRIA SOLAR,KV-453,30,50,16,1100001186204
LE-066 - SUPORTE PARA NOTBOOK OU TABLET,LE-066,30,50,16,7908125202930
FON-6746 - FONE DE OUVIDO DA BASIKE,FON-6746,10,20,16,7899085126988
KAP-5050P - FITA DE LED RGB,KAP-5050P,35,50,16,7897700050502
KAP-L3/L2 LAMPADA MUSICAL RGB KAPBOM,KAP-L3,85,120,17,7897723546488
MD-12274 - FACA DE COZINHA COM ACABAMENTO ANTIADERENTE,MD-12274,35,55,17,7893095416701
KV-11246 RÁDIO RETRÔ SEM FIO,KV-11246,55,80,17,7898070364749
AB-29 - MOUSE GAMER ASTON,AB-29,22,35,17,1000001132181
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
LE-2411 - FONE DE OUVIDO,LE-2411,30,50,17,7908125208024
FON-9918 - FONE DE OUVIDO,FON-9918,5,10,17,7899085486198
BA-MD12358 - MOCHILA INOVA,BA-MD12358,70,110,17,7893095510515
RAD020- CAIXA DE SOM BLUETOOTH,RAD020,210,330,17,7893095511628
MD-30217 - MASSAGEADOR EMS TREINO DE QUADRIS,MD-30217,20,35,18,7893095416589
RAD-20438 ALTO FALANTE SEM FIO PARA BALDE DE GELO,RAD-20438,130,170,18,7893095422849
KV-5703 CÂMERA DE SEGURANÇA WIFI,KV-5703,90,140,18,7898070364541
DIG-7020 - CONVERSOR DIGITAL INOVA,DIG-7020,85,110,18,7899085712556
ZJT-50004 - ADAPTADOR AV2HDMI,ZJT-50004,22,35,18,7899085712204
KEY-9967 - TECLADO MULTIMIDIA,KEY-9967,30,45,18,7899085126292
MD-12277 - CONJUNTO DE 7 PEÇAS PARA COZINHA COM TÁBUA DE CARNE,MD-12277,85,120,18,7893095416671
COS-8778 - FONE DE OUVIDO APPLE GRANDE AIRPODS MAX,COS-8778,90,0,18,
KA-7783 - UMIDIFICADOR DE NAVEGAÇÃO SUAVE,KA-7783,95,150,18,7897785277832
COPO DE CERVEJA COM MUSICA,QY-WENG,60,100,19,7892023775897
XD-12196 LUZ DE PROJEÇÃO ASTRONAUTA,XKD-12196,80,120,19,1000000257236
RAD-9050 - MINI CAIXA DE SOM,RAD-9050,33,55,19,7908346225534
WU-377 - CARREGADOR PORTÁTIL 10000MAH C/CARRREGAMENTO POR INDUÇÃO PEINING,WU-377,60,100,19,1000000775129
PEI-J46-I - CABO DE DADOS CARREGAMENTO RÁPIDO 30W IPH,PEI-J46-I,22,40,19,7893008813498
KV-11245 RÁDIO RETRÔ SEM FIO,KV-11245,55,80,19,7898070364718
KA-1445 - MINI IMPRESSORA TERMICA,KA-1445,110,150,19,789772023730
"KV-329 - SUPORTE TV 26"" ATÉ 63""",KV-329,30,50,19,7898070364831
BF-777S - RÁDIO COMUNICADOR BAOFENG,BF-777S BAOFENG,110,160,19,1000001101798
BF-777S - RÁDIO COMUNICADOR KAPBOM,BF-777S KAPBOM,110,160,19,1000001102917
KA-H7U/AU-4U CABO HUB KAPBOM 7 PORTAS USB,KA-H7U/AU-4U CABO HUB,10,20,19,7898825479865
SL7003 - EXTENSÃO DE 3 TOMADAS 1.5M,SL7003,15,25,19,7908124260115
FON-7506 - FONE DE OUVIDO,FON-7506,5.5,12,19,
BA-MD12356 - MOCHILA INOVA,BA-MD12356,70,110,19,7893095510492
RÁDIO INOVA RAD-8653,RAD-8653,70,100,19,
CARTÃO DE MEMORIA MASTERDRIVE 128GB CLASSE 10,CARTÃO-128GB,45,75,19,7893826803589
KV-10024 FONE DE OUVIDO ESTÉREO,KV-10024,11,20,20,7898070365630
BA-MD-12339 - MOCHILA DE COSTAS,BA-MD-12339,60,95,20,7893095510065
MXQPRO - TV BOX,MXQPRO,110,0,20,7898880246174
KV-8785 - TECLADO S/ FIO INOVA,KV-8785,52,80,20,7899085586942
PROTECT-330VA PROTETOR MULTIFUNCIONAL BIVOLT,PROTECT-330VA,95,130,20,
CBO-7598 - CABO P2 X 2RCA,CBO-7598,3,8,20,7899085488925
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
CBO-7223 - CABO DE REDE 2M,CBO-7223,6,12,20,7897373103413
FONTE IPAD 85W,FONTE IPAD 85W,110,0,20,
GS8 ULTRA - RELOGIO SMART,GS8 ULTRA,120,180,20,
MIC-20440 - MICROFONE INOVA,MIC-20440,45,65,20,7893095423075
AL-3861 CAIXA DE SOM ALTOMEX,AL-3681,82,120,20,7898823138610
APARELHO DE EVAPORAÇÃO KA-1629,KA-1629,90,130,21,7897765216295
WU-115 GARRAFA DE AGUA INFANTIL,WU-115,25,35,21,1100000089728
RAD-8642 - CAIXA DE SOM PORTÁTIL AUX/USB/TF/FM,RAD-8642,100,150,21,7908346269873
MKL-CAR-3117-S 3.1A CARREGADOR TIPO C CAIXA COLORIDA,MKL-CAR-3117-S 3.1A,10,20,21,7899085590000
S03- BASTÃO DE SELFIE C/ TRIPÉ INTEGRADO,S03,17,30,21,1000000979046
RAD-8670 - RADIO INOVA,RAD-8670,33,55,21,7908346275805
MD-8778 - FONE DE OUVIDO BLUETOOTH,MD-8778,40,70,21,7893095421590
"KV-328 - SUPORTE DE TV 14"" ATÉ 55""",KV-328,40,65,21,7898070364824
AL-C668 - FONTE DE ALIMENTAÇÃO IMPRESSORA,AL-C668,30,50,21,1000001105970
LE-905 - MICROFONE C/FIO LELONG,LE-905,15,25,21,7898605607174
LE-3602 - SUPORTE DE MESA PARA MICROFONE,LE-3602,11,20,21,7898202104205
CHAR-12467 - CARREGADOR P/ CELULAR SEM FIO 3 EM 1,CHAR-12467,60,90,21,7893095423341
MIC-7427 - MINI MICROFONE,MIC-7427,40,60,21,7893590427738
HW8 PRO MAX - RELOGIO SMART,HW8 PRO MAX,120,180,21,7899085713881
S9-ULTRA-PRO - RELÓGIO INTELIGENTE SMARTWATCH,S9-ULTRA-PRO,75,120,21,7893095416534
BA-FON7574- FONE DE OUVIDO BASIKE,BA-FON7574,10,20,22,7899085488451
AM-8505 - CAIXA DE SOM BLUETOOTH COM UM MICROFONE SEM FIO 50W,AM-8505,100,140,22,7898823985054
MD-12261 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,MD-12261,80,120,22,7893095422382
MD-12272 -FACA DE COZINHA ONDULADA COM 6 PEÇAS,MD-12272,35,50,22,7893095416725
PLAYER-5900 - RADIO AUTOMOTIVO AM/FM MP3,PLAYER-5900,75,110,22,1000001022024
HM-2307 - LUMINÁRIA SPEAKER,HM-2307,65,120,22,6973281283070
FONE JB E50 BT,FONE JB E50 BT,75,0,22,6842356465584
RAD-12536 ALTO FALANTE SEM FIO RGB LUZES,RAD-12536,45,70,22,7893095423143
RAD-8654 - MINI CAIXA DE SOM PORTÁTIL INOVA,RAD-8654,65,90,23,7908346264427
RAD-8630- MINI CAIXA DE SOM INOVA,RAD-8630,30,50,23,7908346248465
EL-1507 - HEADPHONE SEM FIO ELETRO GATINHO,EL-1507,45,80,23,7891123015070
MD-12275 CONJUNTO DE FACAS COM 7 PEÇAS,MD-12275,38,60,23,7893095416695
DT-8826 - TERMÔMETRO DIGITAL,DT-8826,130,200,23,1000001091761
D-828 - FONTE CHAVEADA 24V 15A,D-828,75,110,23,8878920218285
CBO-5996 - CABO USB INOVA 2M,CBO-5996,7,15,23,7899085126520
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
FON-20397 - FONE DE OUVIDO BASIKE,FON-20397,55,85,23,7899085713805
ZX-115 BOMBA DE ÁGUA,ZX-115,16,30,24,1000000210897
KV-100 LÂMPADA DE FESTA,KV-100,17,30,24,7899085123000
LE-044 - SUPORTE P/ CELULAR,LE-044,18,25,24,7908125208567
RAD-20428 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,RAD-20428,120,180,24,7899085715472
AL-9006-V8 5.1A CARREGADOR ORIGINAL (PROMOÇÃO),AL-9006-V8 5.1A,4.5,15,24,8878919900665
KA-0017 - CHARGE5 KAPBOM (MENOR),KA-0017,65,100,24,1000001028354
PLAYER-5901 - RADIO AUTOMOTIVO AM/FM MP3,PLAYER-5901,85,130,24,1000001057675
CON-8148 - CONTROLE SEM FIO PRA XBOX,CON-8148,100,160,24,7897473113596
C-137 - SUPORTE DE COMPUTADOR,C-137,20,30,24,7892020603049
POW-8317 - CARREGADOR PORTÁTIL 10000MAH,POW-8317,33,50,24,7908346254343
KAP-Y09 - PONCHETE PARA ACADEMIA KAPBOM,KAP-Y09,22,35,24,
NO:22308 - FONE DE OUVIDO I12 TWS,NO:22308,18,35,24,1000001288543
KV-043 - SUPORTE UNIVERSAL P/ TV,KV-043,16,25,24,7899085488864
CHAR-12468 - CARREGADOR S/ FIO 3 EM 1 INOVA,CHAR-12468,60,100,24,7893095423334
LE-2127 HUMIDIFICADOR E AROMATIZADOR,LE-2127,25,35,25,7908044602668
CAIXA DE SOM KAPBOM KA-8689,KA-8689,90,130,25,7897723786891
MD-30163 CAMERA DE VIDEO,MD-30163,90,140,25,7899085715533
FON-9933- FONE DE OUVIDO COM MICROFONE,FON-9933,3,8,25,7899085126841
PEI-DR-28 FONE DE OUVIDO SEM FIO,PEI-DR-28,55,90,25,7772345678901
MD-12276 FACAS AFIADAS DE USO DIÁRIO,MD-12276,38,60,25,7893095416688
KA-9901 FONE ASTRONAUTA,KA-9901,50,75,25,7897720299011
ST-18AY - FONE DE OUVIDO GATINHO BLUETOOTH PEINING,ST-18AY,70,110,25,7893008814549
PEI-PH08 - SUPORTE MAGNÉTICO PARA CARRO DOBRAMENTO DUPLO,PEI-PH08,10,20,25,7893008813375
T-30 - FONTE DE ALIMENTAÇÃO HP,T-30,30,50,25,1000001106977
CAR-3224C - KIT VEICULAR 20W+25W TPC,CAR-3224C,15,25,25,7899085592516
FON-8619 - FONE DE OUVIDO PARA PS4/ XONE,FON-8619,38,50,25,7893590429305
FONE SPRING TYPE C - FONE DE OUVIDO TIPO C XIAOMI,FONE SPRING TYPE C,8,16,25,6934177700507
KV-468 - LUMINÁRIA MATA MOSQUITO,KV-468,30,45,25,
EXTENSÃO BARRA 3 METROS GROSSO 2P+P+T BRASFLEX,EXTENSÃO 3 METROS GROSSO,14,25,25,
MS-3627BT - CAIXA DE SOM,MS-3627BT,95,135,25,
G11-LUM - LUMINÁRIA SPEAKER,G11-LUM,70,120,25,
KA-1343 - MASSAGEADOR GUNPRPO,KA-1343,80,120,25,7897723070969
JOGO DE FERRAMENTAS AK-5306,AK-5306,25,40,26,7898889123698
WU-070 GARRAFA TERMICA,WU-070,45,65,26,7899085714154
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
LAN-6733 LUMINARIA DE MESA,LAN-6733,40,60,26,7899085124922
MD-12265 - CAIXA DE SOM PORTÁTIL SEM FIO,MD-12265,140,200,26,7893095422313
FON-886 FONE DE OUVIDO LUZ LED,FON-886,48,70,26,7893095422436
S578 - CAIXA DE SOM BLUETOOTH C/ MICROFONE ROMIS,S578,90,130,26,212522256869
MD-12293 - VENTILADOR + HUMIDIFICADOR DE AR,MD-12293,50,80,26,7893095421880
CBO-5956 CABO TUBETE V8 1M INOVA,CBO-5956,6,12,26,7893595556402
COD:0014 - TECLADO USB BRIGHT,COD:0014,24,35,26,7897982200664
AB-27 - TECLADO USB ASTON,AB-27,35,60,26,
AL-8927 - RADIO ALTOMEX,AL-8927,32,50,26,7898802289272
CELL-11050 - PILHA AA CX C/60,CELL-11050,25,40,26,7899085489205
LE-2138 RELÓGIO DE PAREDE,LE-2138,50,70,27,7908125208581
KA-2307 HUMIDIFICADOR DE AR,KA-2307,58,90,27,7897723060779
FON-30082 FONE DE OUVIDO,FON-30082,11,20,27,7899085592349
AM-8506 - CAIXA DE SOM BLUETOOTH COM UM MICROFONE 50W,AM-8506,100,140,27,7898823985061
RAD-8166 - CAIXA DE SOM PORTÁTIL INOVA,RAD-8166,80,120,27,7908346255012
BWB-004 - GARRAFA TÉRMICA C/ 3 XÍCARAS FLASK SET,BWB-004,30,50,27,1000000767742
RAD-8669 - CAIXA DE SOM PORTÁTIL SEM FIO INOVA,RAD-8669,33,55,27,7908346275799
RAD-12291 - LUMINÁRIA COM RÁDIO E MICROFONE,RAD-12291,115,190,27,7893095421835
KV-456 - LUMINÁRIA SOLAR,KV-456,55,80,27,
CBO-8575 - CABO P2 X P2,CBO-8575,6,12,27,7893590429039
FON-8639 - FONE DE OUVIDO PARA JOGOS,FON-8639,28,35,27,7893590429497
MD-30162 CAMERA INTELIGENTE,MD-30162,280,360,28,7899085715304
RAD-8712 RÁDIO RETRÔ DA BASIKE,RAD-8712,60,95,28,7893595552985
KV-8195 RÁDIO RETRÔ,KV-8195- CABO DE FORÇA,57,115,28,7899085587543
SPO-5938 - SUPORTE INOVA,SPO-5938,15,25,28,7899085125998
AL-1033 - FONTE 12V ALTOMEX,AL-1033,9,15,28,
FON-9810 - FONE DE OUVIDO,FON-9810,5,10,28,7893595555627
MS-3628BT - CAIXA DE SOM,MS-3628BT,95,135,28,
TRAVA DE SEGURANÇA KA-5712,KA-5712,22,35,29,7897706757115
CVB-024 - BOLA DE FUTEBOL,CVB-024,14,25,29,7908542617928
RAD-8656 - MINI CAIXA DE SOM,RAD-8656,70,100,29,7908346264441
S576 - CAIXA DE SOM BLUETOOTH C/ MICROFONE,S576,85,120,29,1946212522826
2835-GXXWJ - FITA LED NEON,2835-GXXWJ,30,40,29,
W41-PRO-MAX - RELÓGIO INTELIGENTE SMARTWATCH,W41-PRO-MAX,100,150,29,7899085715595
MD-30221 - FONE DE OUVIDO,MD-30221,45,70,29,7893095416602
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
BA-RAD014 - RÁDIO BLUETOOTH BASIKE,BA-RAD014,150,250,29,7893095511567
KV-298 MINI LIQUIDIFICADOR INOVA,KV-298,25,50,30,7898070364794
SD-172A CAMPAINHA,SD-172A,25,40,30,7898605607242
SD-174A CAMPAINHA,SD-174A,25,40,30,7898605607266
A-691 CAMPAINHA,A-691,18,30,30,6913515006914
CBO-6047 CABO DE IPHONE 3.4A,CBO-6047,9,15,30,7899085489922
WUP-934 POWER BANK 10.000MAH,WUP-934,80,120,30,7869029029347
WUP-758 - POWER BANK 10000MAH TURBO 20W MAGNÉTICA PEINING,WUP-758,85,120,30,7869029027589
L08 - ESTABILIZADOR GIMBAL BASTÃO DE SELFIE C/ TRIPÉ,L08,145,200,30,7893008814822
FON-9027 - FONE DE OUVIDO SEM FIO GATINHO BASIKE,FON-9027,35,50,30,7893595553517
FON-30091 - FONE JBL,FON-30091-JBL,35,0,30,7893095164114
W34+ - RELOGIO SMART,W34+,60,100,30,7898070366378
CELL-11052 - PILHA AA CX C/60,CELL-11052,30,45,30,7899085489229
WU-13687 - WU-13688/13685 RING LIGHT PEQUENO,WU-13687,25,50,30,1100001679386
POW-1067 - POWER BANK,POW-1067,35,55,30,7899085122553
BA-FON042 - FONE DE OUVIDO BLUETOOTH BASIKE,BA-FON042,110,180,30,7893095510874
WU-13690 - SUPORTE TRIPÉ,WU-13690,1,1,30,
A-B05 HEADPHONE COM BLUETOOTH,A-B05,27,45,30,7898828693053
KA-1333 - MICROFONE NÚCLEO DE ALTA QUALIDADE,KA-1333,115,170,30,7897723133305
KA-5735 - BLOQUEIO U CADEADO DE BICICLETA,KA-5735,60,100,30,7897728645360
GARRAFA DE ÁGUA INFANTIL A-6589,A6589,35,55,31,7908575506589
