Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
WU-089 GARRAFA TERMICA,WU-089,32,50,31,
LE-MR64 GARRAFA PLÁSTICA INFANTIL 850ML,LE-MR64,50,70,31,7898202303158
MD-20158 CÂMERA DE VIDEO INTELIGENTE,MD-20158,65,110,31,7899085714369
RAD-12327-LOTSOA1 - CAIXA DE SOM URSINHO,RAD-12327-LOTSOA1,60,100,31,1000000835557
MD-30232- VENTILADOR PORTÁTIL RECARREGAVÉL,MD-30232,18,30,31,7893095421743
LE-527C - CARREGADOR VEICULAR TYPE-C 3.4A,LE-527C,10,20,31,7908125204507
RAD-12290 - LUMINÁRIA COM RÁDIO + CARREGADOR + DESPERTADOR,RAD-12290,102,150,31,7893095421842
LE-2432 - FONE DE OUVIDO,LE-2432,30,50,31,7908125209960
REM-8042 - CONTROLE TV LCD PANASONIC,REM-8042,5,8,31,7897373102676
FON-12121 - FONE DE OUVIDO,FON-12121,45,70,31,7893095422993
JR66 - FONE DE OUVIDO,JR66,55,75,31,
FON-8778 - FONE DE OUVIDO,FON-8778,75,130,31,
KAP-048 MODELADOR DE CACHOS KAPBOM,KAP-048,68,90,32,7897723010958
WUP-935 POWER BANK 10.000MAH,WUP-935,75,110,32,1000000623055
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
WS-591 - CARRO CAIXA DE SOM COM RÁDIO KAPBOM,WS-591,65,90,32,7897723015915
RAD-8655 - MINI CAIXA DE SOM PORTÁTIL,RAD-8655,65,90,32,7908346264434
FON-2123D - FONE DE OUVIDO,FON-2123D,15,25,32,7897473114098
KV-9812 - TECLADO S/ FIO INOVA,KV-9812,40,60,32,7899085126346
LE-8135 RELOGIO DE MESA,LE-8135,15,25,33,7908125209502
LE-1859 KIT PONTEIRA PROFISSIONAL ACO VANADIO 100MM,LE-1859,14,25,33,7908125209670
WU-096 GARRAFA TERMICA,WU-096,38,60,33,7890703673136
WS-1958 CAIXA DE SOM FUSCA,WS-1958,75,110,33,7897723019586
KA-8885 - CAIXA DE SOM C/ LUMINARIA KAPBOM,KA-8885,90,130,33,7897723388859
MAG-8758 - AMPLIFICADOR DE VIDEO,MAG-8758,18,30,33,7893595553654
CON-11258 - CONTROLE DE VÍDEO GAME,CON-11258,110,200,33,7899085714567
FON-7504 - FONE DE OUVIDO,FON-7504,5.5,12,33,
SPO-8481 - SUPORTE,SPO-8481,6,12,33,7893590425734
LE-2115 RELÓGIO DE PAREDE DIGITAL,LE-2115,70,100,34,7908044601098
LE-3616 SUPORTE ARTICULADO PARA NOTBOOK,LE-3616,95,140,34,7908125204651
WUP-938 CARREGADOR PORTÁTIL 10.000MAH,WUP-938,70,110,34,7869029029385
WS-528 - CAMINHÃO CAIXA DE SOM,WS-528,90,130,34,7897723015281
PEI-J59-C - CABO DE DADOS TPC 60W 2000CM PEINING,PEI-J59-C,13,25,34,7893008814471
PEI-J46-C- CABO DE DADOS CARREGAMENTO RÁPIDO 100W TPC,PEI-J46-C,22,40,34,7893008813504
ITEM NO-280 - SENSOR DE RÉ,ITEM NO-280,45,70,34,1000001211923
ADAPTADOR CARREG E FONE IPHONE,ADAPTADOR (T) IPHONE,6,10,34,
CBO-7585 - CABO TC-IPH (MAÇÃ),CBO-7585,5.5,0,34,7898357420045
US8 ULTRA - RELOGIO SMART,US8 ULTRA,95,160,34,
WU-077 GARRAFA TERMICA,WU-077,35,50,35,7899085713355
XM-N9 - FONE DE OUVIDO,XM-N9,4,10,35,1000001016139
WU-036 GARRAFA DE AGUA,WU-036,30,46,36,1100000101024
RAD-8621 - MINI CAIXA DE SOM INOVA,RAD-8621,25,40,36,7908346247147
MD-12267 - CAIXA DE SOM ALTO FALANTE,MD-12267,165,250,36,7893095422337
WDR-27 - FONE DE OUVIDO S/ FIO I13,WDR-27,28,50,36,
KEY-8388 - KIT TECLADO E MOUSE,KEY-8388,52,80,36,7893590160178
PENDRIVE MINI CHAVEIRO MASTERDRIVE 128GB CLASSE 10 (PRATA E BLACK),128GB CLASSE 10,85,130,36,7893826015807
LE-2128 HUMIFICADOR E AROMATIZADOR DE AMBIENTE,LE-2128,25,35,37,7908044602675
PAINEL SOLAR TYNB-12203,TYNB-12203,50,75,37,7899085714628
KA-Z13 AMBIENTADOR DE CARRO KAPBOM,KA-Z13,55,80,37,7897723060137
PEI-J46-3 - CABO DE DADOS CARREGAMENTO RÁPIDO TPC 66W,PEI-J46-3,20,30,37,7893008813481
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
MAG-8757 - AMPLIFICADOR DE VIDEO,MAG-8757,16,30,37,7893595553661
KEY-9965 - TECLADO INOVA (COM FIO!),KEY-9965,30,45,37,7899085126322
FON-11109 - FONE DE OUVIDO INOVA,FON-11109,40,60,37,7899085713034
FON-10025 - AIRPODS PRÓ 6,FON-10025,35,70,37,
MA-1 - FONE DE OUVIDO,MA-1,55,75,37,
AL-1751 MARMITA,AL-1751,25,40,37,7898885217513
LAN-6734 LUMINARIA DE MESA INOVA,LE-6734,45,70,38,7899085124939
MD-5703 CÂMERA DE VÍDEO INTELIGENTE,MD-5703,80,120,38,7899085714383
MD-12262 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,MD-12262,70,100,38,7893095422399
ZJT-30085 - OTG 3 EM 1,ZJT-30085,22,35,38,7899085592950
M-303 - MICROFONE COM FIO,M-303,18,30,38,8878921303003
WU-13688 RING LIGHT C/ TRIPE,WU-13689,70,120,38,7820230214090
D-826 - FONTE CHAVEADA 24V 5A,D-826,50,85,38,8878920218261
8977N - CARREGADOR TURBO POWER CHARGER V8,8977N,10.5,20,38,7237558977796
JN-006 - MINI ESPELHO COM POWER BANK ROSA,JN-006,30,55,38,6999885455620
WU-178 - GARRAFA TÉRMICA,WU-178,32,50,38,7899085715779
HUMID-8542 HUMIDIFICADOR DE GATINHO,HUMID-8542,25,40,39,7893590428599
PEI-S505 CAIXA DE SOM BLUETOOTH PEINING,PEI-S505,130,170,39,6971192053980
RAD-9023 - MINI CAIXA DE SOM AMPLIFICADA PORTÁTIL,RAD-9023,25,40,39,7908346225268
PEI-EX-1091 - SUPORTE DE CELULAR PARA CARRO 360º,PEI-EX-1091,23,40,39,7891356432033
CARREGADOR VEIC. T-C BASIKE BA-CAR0049,BA-CAR0049,20,35,39,7897473117488
AL-1750 MARMITA LUNCH BOX,AL-1750,29,45,39,7898885217506
WU-011 GARRAFA TERMICA,WU-011,35,55,40,7899085713737
SD-173A CAMPAINHA,SD-173A,25,40,40,7898605607259
MJQ-12287 - LIXA PARA OS PÉS,MJQ-12287,20,35,40,7893095421972
PEI-EX-2002 - SUPORTE UNIVERSAL PARA SMARTPHONE,PEI-EX-2002,20,30,40,7871192051193
CBO-5715 - CABO T-C 1M,CBO-5715,4.2,10,40,7893595554934
KEY-8773 - TECLADO GAMER,KEY-8773,50,80,40,
ADAPTADOR OTG IPHONE MASTERDRIVE,OTG-I6 MASTERDRIVE,20,30,40,7893826807020
MD-12414 POWER BANK 20.000MAH,MD-12414,80,125,40,7893095423662
KA-C025 - SUPORTE DE MICROFONE,KA-C025,40,60,40,7897755711250
KA-C026 SUPORTE PARA CÂMERA,KA-C026,40,60,40,
KA-1439 DETECDOR PAA NOTAS FALSAS,KA-1439,35,50,40,
KA-1583 FATIADOR DE ALIMENTOS,KA-1583,45,65,40,
WU-037 GARRAFA DE ÁGUA,WU-037,30,42,41,1100000100263
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
MOOP ESFREGA TRIANGULAR DE LIMPEZA,MOOP,60,100,41,1100000106135
A-506 BOMBA DE ÁGUA,A-506A,50,80,41,7898851012111
25406 - FACA P/ MANTEIGA DE METAL,25406,3,6,41,7908224327367
PEI-S504 - CAIXA DE SOM BLUETOOTH PEINING,PEI-S504,160,120,41,7889511511356
BZ-1 GARRAFA TÉRMICA 510ML,BZ-1,28,45,41,1000000904598
FON-8779 - FONE DE OUVIDO SEM FIO INOVA,FON-8779,43,70,41,7893095421989
UV-5R - WALKIE TALKIE,UV-5R,140,200,41,1000001100586
ZJT-30069 - ADAPTADOR OTG IPH,ZJT-30069,10,20,41,7899085591731
AL-3087 - MINI CAIXA P/ PC ALTOMEX,AL-3087,28,40,41,8878921130876
JB 950-2 - FONE DE OUVIDO,JB 950-2,50,0,41,184131121268
LAN-6736 LUMINARIA DE MESA,LAN-6736,40,70,42,7899085124953
PEI-S502 CAIXA DE SOM BLUETOOTH,PEI-S502,75,110,42,6971192054680
YY-01 - POP IT GAME MACHINE,YY-01,18,30,42,1000000317213
A-5681 MINI STUDIO FOTOGRAFICO GRANDE,A5681 GRANDE,120,160,43,1100000020974
WU-031 GARRAFA DE 1 LITRO,WU-031,14,20,43,1100000135166
KV-146 - BALANÇA ELÉTRICA COMPACTA,KV-146,35,55,43,7899085589066
KV-451 - LUMINÁRIA SOLAR,KV-451,30,50,43,
KV-467 - LUMINÁRIA MATA MOSQUITO,KV-467,30,50,43,
AL-3083 - MINI CAIXA P/ PC ALTOMEX,AL-3083,30,50,43,8878921130838
MIC-30112 - MICROFONE LAPELA IPHONE 2,MIC-30112,120,180,43,1100001699162
WU-136 JOGO DE FERRAMENTAS,WU-136,20,35,44,7899085714659
RAD-9025 - MINI CAIXA DE SOM AMPLIFICADA PORTÁTIL,RAD-9025,25,40,44,7908346225282
KA-2807 CONTROLE REMOTO SAMSUNG TV/LCD,KA-2807,5.5,10,44,7897722228071
PEI-J46-2 - CABO DE DADOS CARREGAMENTO RÁPIDO IPH,PEI-J46-2,20,30,44,7893008813474
RAD-12529 - RÁDIO INOVA,RAD-12529,85,130,44,7893095422221
LE-2123 UMIDIFICADOR DE AR E AROMATIZADOR,LE-2123,22,35,44,7908044602590
FON-20420 FONE DE OUVIDO,FON-20420,100,150,45,
BL-TX-001- MÁQUINA DE BARBEAR USB TPC,BL-TX-001,25,40,45,7891543100011
KA-2896 CONTROLE REMOTO SAMSUNG LED LCD,KA-2896,5.5,10,45,7897723628962
CON-204Z - CONTROLE PS3 INOVA,CON-204Z,50,80,45,7897473113787
S-262 - MAQUINA PARA BARBEAR,S-262,50,80,45,7908346245228
G06-C - CARREGADOR VEICULAR TIPO C 4.1A,G06-C,10,20,45,7899085488086
KV-132 - BARBEADOR INOVA,KV-132,35,55,45,7899085587437
ROU-6002 - REPETIDOR WIFI,ROU-6002,43,60,45,7897473113992
CBO-7608 - CABO P10/P10,CBO-7608,13,25,45,7899085489021
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
CBO-7215 - CABO HDMI 5M,CBO-7215,18,35,45,7897373104090
BA-CAR0045 - CARREGADOR BASIKE,BA-CAR0045,25,35,45,7897473117426
CAR-7447 -BOX FONTE CARREGADORA 20W USB-C,CAR-7447,20,0,45,194252156926
W37-PRO-MAX - RELÓGIO INTELIGENTE SMARTWATCH,W37-PRO-MAX,110,160,45,7899085715618
F-091 - FONE DE OUVIDO,F-091,30,50,45,6989532512530
AL-3085 - MINI CAIXA P/ PC ALTOMEX,AL-3085,24,40,45,
MD-20442 - MICROFONE DINÂMICO,MD-20442,35,55,45,7893095423327
REF-758 PRANCHA DEFINIDORA DE CABELOS,REF-758,40,70,46,7908124271302
PEI-286-2/IP CARREGADOR 6.2A IPHONE PEINING CABO SOLTO,PEI-286-2 IPH,15,30,46,7893008812347
RAD-9049 - MINI CAIXA DE SOM INOVA,RAD-9049,33,55,46,7908346225527
KV-811104 - RÁDIO ALTO FALANTE PORTÁTIL,KV-811104,25,40,46,7899085593063
KV-8784 - KIT TECLADO E MOUSE,KV-8784,52,80,46,7899085586935
LE-040 - SUPORTE PARA CELULAR,LE-040,11,20,46,7908125200868
ZJT-30103 - ADAPTADOR PORTA RELÂMPAGO USB,ZJT-30103,26,40,46,
ROU-6011 - ROTEADOR INOVA,ROU-6011,75,120,46,7908273076049
MD-30251 - SUPORTE DE PAREDE PARA TV,MD-30251,14.5,25,46,7893095422733
TRAVA DE SEGURANÇA KA-5713,KA-5713,22,35,47,7897706757116
LE-2122 UMIDIFICADOR DE AR E AROMATIZADOR,LE-2122,23,35,47,7908044602583
CAR-3305A - CARREGADOR 5.1A IPHONE INOVA,CAR-3305A,12,25,47,7899085712099
CAR-3160C-3.1A TIPO C CARREGADOR DE BLISTER INOVA,CAR-3160C-3.1A TIPO C,11,20,47,7893595556990
C-116 - SUPORTE P/ AR ALTOMEX,C-116,7,15,47,7908434946242
PEI-PD101 20W CARREGADOR RÁPIDO 20W USB-A+C,PEI-PD101,30,45,48,7893008810855
KA-3818 CONTROLE UNIVERSAL DE AR CONDICIONADO,KA-3818,12,20,48,7897723538186
GARRAFA TÉRMICA KA-0137,KA-0137,35,50,49,7897701375482
KV-080 - CABO USB KIVE V8 1M,KV-080,5.5,10,49,7899085123833
U-1271 - BARBEADOR INOVA,U-1271,55,90,49,7899085594213
SL7103 - EXTENSÃO 3 TOMADAS 7389,SL7103,13,23,49,7908124260146
RAD-12421 - CAIXA DE SOM PORTÁTIL INOVA,RAD-12421,60,90,49,7893095422115
SL7113 - EXTENSÃO 3 TOMADAS CABO GROSSO,SL7113,13,20,49,7908124260276
D-008 - MINI CAIXA P/ PC ALTOMEX,D-008,26,40,49,
AL-Z21 MOCHILA PRETA,AL-Z21,60,85,49,7898813113214
AL-8260 COPO TÉRMICO COM CAIXA DE SOM ( PROMOÇÃO),AL-8260 S/LOGO,32,55,49,7898824182605
BA-FON9856 FONE DE OUVIDO SEM FIO BASIKE,BA-FON9856,55,90,50,7908124297876
PEI-S506 - CAIXA DE SOM BLUETOOTH PEINING,PEI-S506,55,95,50,7656154751485
TERMÔMETRO DIGITAL,TERMÔMETRO DIGITAL,8,15,50,1000000799484
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
SPO-7523 - SUPORTE PARA CARRO,SPO-7523,14,25,50,7899085125424
AL-112 LIMPADOR DE CRAVOS,AL-112/XD-888,22,35,51,8878921001121
MD-572 CARRINHO COM AUTO FALANTE,MD-572,95,140,51,7893095421521
PEI-907 CARREGADOR 2USB C + USB PEINING,PEI-907,75,110,51,7893008812644
KAP-V380 - CÂMERA LÂMPADA,KAP-V380,60,100,51,1000001019581
WU-227 - GARRAFA TÉRMICA,WU-227,32,50,51,7893095416763
KA-009 PROCESSADOR DE ALIMENTOS 250ML KAPBOM,KA-009,25,35,52,7891755800099
KV-357 LUMINÁRIA BOLA,KV-357,40,70,52,7898070365838
CAR-5181A CARREGADOR 3.1A IPH BLISTER,CAR-5181-A-IPHONE BLISTER,10.5,20,52,7899085125110
8978N-TY - CARREGADOR TURBO POWER CHARGER TIPO C,8978N-TY,11,25,52,7237558978793
MIC-8641 - MICROFONE MULTIMIDIA,MIC-8641,50,70,52,7893590427578
CANECA EM POLICARBONATO SUPER RESISTENTE 1200 ML,CANECA 1200ML,17,25,52,1000001286303
MD-144 BALANÇA DE COZINHA ELETRONICA,MD-144 BALANÇA,18,25,52,7899085714284
LE-1986 ESTILETE,LE-1986,5,10,53,7908125203685
WU-063H GARRAFA DE AGUA 3 EM 1 TODA PRETA,WU-063H,15,35,53,1100000105961
PEI-902 CARREGADOR 30W U+C,PEI-902,40,60,53,7893008812590
HT-029 GARRAFA TÉRMICA SMART CUP LED C/ MEDIDOR,HT-029,20,30,53,1000000902778
CON-30234 - CONTROLE DE VIDEO-GAME,CON-30234,165,270,53,7893095422499
ZJT-50008 - ADPTADOR HDMI2AV,ZJT-50008,35,55,53,7899085712235
JL-1162 KIT DE CHAVES,JL-1162,10,18,53,
COPO TÉRMICO FURTACOR CUP-888/CUP-12086,CUP-12086/CUP-888,25,35,54,1100000145998
MD-570 CARRINHO COM AUTO FALANTE,MD-570,85,125,54,7899085714888
MD-571 - CARRINHO CAIXA DE SOM,MD-571,95,140,54,7899085714833
BL-C72-P50 MINI LANTERNA,BL-C72-P50,11,20,54,1000000595314
AL-3093 - MINI CAIXA P/ PC ALTOMEX,AL-3093,26,40,54,8878921130937
WIND2 - CAIXA DE SOM,WIND2,42,0,54,
AL-3092 - MINI CAIXA P/ PC ALTOMEX,AL-3092,20,35,54,
FON-20390 FONE DE OUVIDO,FON-20390,52,80,55,7899085713843
LE-6623 - CABO HDTV 4 EM 1,LE-6623,8,12,55,7908125203371
CAR-3298C 3.1A CARREGADOR RÁPIDO TIPO C,CAR-3298C 3.1A,10,20,55,7899085712006
D-821 - FONTE CHAVEADA 12V 5A,D-821,20,35,55,8878920218216
AL-357 - CABO ADAPTADOR ALTOMEX 3 EM 1,AL-357,16,25,55,7891379841546
G06-S - CARREGADOR VEICULAR 4.1A V8,G06-S,9.5,20,55,7899085488079
MS-3631BT - CAIXA DE SOM,MS-3631BT,95,135,55,
LE-6117 CINTA POSTURAL,LE-6117,36,55,55,7908125211161
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
LE-6118 CINTA POSTURAL,LE-6118,40,60,55,7908125211178
LUZES DE MÚSICA DE FUTEBOL BLUETOOTH KA-1885,KA-1885,50,75,56,7897700018854
CAR-G5062S-3.1A V8 CARREGADOR RÁPIDO,CAR-G5062S-3.1A,9,20,56,7899085124632
MD-12245 - FONE SEM FIO,MD-12245,53,80,56,7893095421620
BA-FON6693 - FONE DE OUVIDO BLUETOOTH TWS,BA-FON6693,40,65,56,7899085126094
PEI-WUP830 CARREGADOR PORTÁTIL 10.000MAH,PEI-WUP-830,85,120,57,7662345678905
RAD-8674 - CAIXA DE SOM PORTÁTIL SEM FIO,RAD-8674,25,40,57,7908346275843
FILTRO DE LINHA ELETRO G2 3 TOMADAS,ELETRO G2 3 TOMADAS,15,30,57,788115651156
KV-155 - POWERBANK,KV-155,48,65,57,7898070367184
KV-11207 - MINI CAIXA DE SOM SEM FIO COM RÁDIO,KV-11207,35,55,58,7898070364336
FON-9932 - FONE DE OUVIDO COM FIO,FON-9932,3,8,58,7899085126834
CAR-3235C 3.1A TPC (CS) - CARREGADOR RÁPIDO INOVA,CAR-3235C 3.1A TPC - CABO SOLTO,10,20,58,7899085711023
MP-7433 - MOUSEPAD INOVA,MP-7433,12,20,58,7893595553524
MU-1067 - POWERBANK,MU-1067,35,55,58,7893095422047
CBO-7607 - CABO P10/P10,CBO-7607,11,20,58,
S8 ULTRA PRO - RELOGIO SMART,S8 ULTRA PRO,110,180,58,7898070366385
GARRAFA DE ÁGUA CUP-12089/CUP-12088,CUP-12089 CUP-12088,20,45,59,7899085713454
BOMBA PARA GALÃO DE ÁGUA KA-C13,KA-C13,35,50,59,7897785274138
KV-353 TRITURADOR ELETRICO,KV-353,40,65,59,7898070365296
MD-12205 - BOMBA D'ÁGUA,MD-12205,20,30,59,
FON-12511 FONE DE OUVIDO BLUETOOTH ESTÉREO SEM FIO,FON-12511,50,75,59,7893095423846
LAN-12544 LUMINÁRIA CHOCOLIGHT,LAN-12544,55,80,59,7893095424393
LAN-12541 LUMINÁRIA POPCORNLAMP,LAN-12541,50,75,59,7893095424416
LE-6105 TORNOZELEIRA DE COMPRESSÃO ORTOPEDICA,LE-6105,12,20,60,7908125209779
GARRAFA TÉRMICA KA-0132,KA-0132,35,50,60,7897701322608
HM-07 MINI LIQUIDIFICADOR ALTOMEX,HM-07,25,50,60,7898823048780
KA-8231 CAIXA DE SOM PORTÁTIL,KA-8231,40,65,60,7897723582318
PEI-PH07 - SUPORTE MAGNÉTICO PARA CARRO DOBRAMENTO DUPLO,PEI-PH07,10,20,60,7893008813368
CBO-20260 - CABO TUBETE 3M-IPHONE,CBO-20260,12.5,20,60,7899085588472
MIC-30111 - MICROFONE LAPELA TPC 1,MIC-30111,65,110,60,1100001426720
SJX-006 - CABO V8 3.8A,SJX-006,2,7,60,
LAN-12542 LUMINARIA PUMPKIN LAMP,LAN-12542,50,75,60,7893095511529
KA-1536 - LUMINÁRIA,KA-1536,20,35,60,7897708068851
KA-5715 CADEADO PARA BICICLETA C/CHAVE TRAVA DISCO,KA-5715,20,30,60,
LAN-30200 LANTERNA DE ALTA BRILHOSIDADE,LAN-30200,38,60,61,7899085714925
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
RAD-8635 - MINI CAIXA DE SOM ALTA FIDELIDADE,RAD-8635,18.5,30,61,7908346248519
WS-599 - CARRO CAIXA DE SOM KAPBOM,WS-599,70,100,61,7897723015991
MD-12264 - CAIXA DE SOM PORTÁTIL WIRELESS SPEAKER,MD-12264,68,100,61,7893095422320
KA-818 - SUPORTE REFRIGERADOR NOTEBOOK,KA-818,12,20,61,7898899333353
KAP-5050W - FITA DE LED KAPBOM,KAP-5050W,22,35,61,
BA-FON002 - FONE DE OUVIDO BLUETOOTH BASIKE,BA-FON002,115,190,61,7893095511710
WU-103 GARRAFA TERMICA,WU-103,38,60,62,7898070367306
HM-03 MINI LIQUIDIFICADOR 380ML,HM-03,40,60,62,7898822090476
WU-220 CHALEIRA TÉRMICA A VÁCUO,WU-220,40,70,62,7893095416770
LE-065 - SUPORTE UNIVERSAL,LE-065,35,50,62,7908125202954
ZJT-50006 - ADAPTADOR AV2VGA,ZJT-50006,23,40,62,7899085712242
SPO-12379 - SUPORTE INOVA,SPO-12379,22,35,62,7893095422962
FON-30083 - FONE DE OUVIDO,FON-30083,14,25,63,7899085592356
FON-2295D - FONE DE OUVIDO,FON-2295D,4,10,63,7893590428537
AL-3091 CAIXA DE SOM PRA PC,AL-3091,20,35,63,
FON-MI-9 - FONE DE OUVIDO BASIKE,FON-MI-9,40,70,63,7899085126070
TRAVA DE SEGURANÇA KA-5710,KA-5710,16,25,64,7897706757108
KV-354 MINI PROCESSADOR DE ALIMENTOS,KV-354,25,35,64,7898070365302
CSJ-12209 BOMBA DE ÁGUA PARA GALÃO,CSJ-12209,40,60,64,7899085713508
PEI-P714 FONE DE OUVIDO TWS COM POWER BANK,PEI-P714,60,100,64,8888154657149
KA-1580 - GRAVADOR DE VOZ KAPBOM,KA-1580,70,100,64,7897743508107
KAP-5050WW - FITA DE LED KAPBOM,KAP-5050WW,22,35,64,
A0679 - LOUSA MAGICA 8.5,A0679,13,25,64,7908575500679
MD-30159 CAMERA DE VIDEO INTELIGENTE,MD-30159,90,140,65,1000000250275
LE-303 - CABO RJ45,LE-303,6,10,65,7898605604715
TB-0502 - FITA DE LED FOYU,TB-0502,35,55,65,
SA-18 - MINI TRIPÉ PARA CELULAR,SA-18,6,12,66,
APARELHO DE EVAPORAÇÃO KA-2657,KA-2657,20,30,67,7897718826571
M8 GELO - PULSEIRA SILICONE PARA RELÓGIO,M8 GELO,8,15,67,1000000639186
KA-1999 - MINI TECLADO UNIVERSAL,KA-1999,35,55,67,7891755719995
MIC-30184 - MICROFONE LAPELA IPH 2,MIC-30184,120,180,67,1100001429240
REM-8024 - CONTROLE TV SHARP,REM-8024,3,6,67,7897373102188
PAINEL SOLAR TYNB-12204,TYNB-12204,40,60,68,7899085714611
MD-20357 CÂMERA INTELIGENTE,MD-20357,110,170,68,7899085715144
CAR-20322 USB C - ADAPTADOR DE ALIMENTAÇÃO 60W,CAR-20322 USB C,50,90,68,7899085711467
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
K22-D - TRIPÉ PARA SELFIE,K22-D,45,70,68,1000000954463
K10 - BASTÃO DE SELFIE C/ TRIPÉ INTEGRADO,K10,25,40,68,1000000982718
AL-SF002 - BALANÇA DE PRECISÃO,AL-SF002,20,30,68,8878929290022
BA-CBO-7422 - CABO USB V8 1M,BA-CBO-7422,4,10,68,7893595552930
AL-652 CAIXA DE SOM RESISTENTE ALTOMEX,AL-652,40,55,68,7898819031635
KV-352 APARADOR DE BOLAS DE PELOS,KV-352,25,40,69,7898070365289
RAD-11254 - CAIXA DE SOM BOLINHA,RAD-11254,25,40,69,7899085712501
RAD-9045 - MINI CAIXA DE SOM,RAD-9045,30,50,69,7908346225480
KA-395-TY CARREGADOR KAPBOM SAQUINHO TIPO C,KA-395-TY,5.5,12,69,7897544568720
SRQ-7518 - COOLER PARA CELULAR,SRQ-7518,13,25,69,7899085486778
BA-CBO-7512 - CABO 3.4A TPC 2M,BA-CBO-7512,6,12,69,7899085125219
GL18-S- - CARREGADOR VEICULAR V8 20W+25W,GL18-S-,20,35,69,7899085591069
ZJT-50007 - ADAPTADOR HDMI2HDMI,ZJT-50007,30,50,69,
BA-FON6689 - FONE DE OUVIDO BASIKE,BA-FON6689,110,180,69,
CAR-2049D - FONTE VEICULAR,CAR-2049D,5.5,10,69,
CALC-7089 - CALCULADORA ELETRÔNICA,CALC-7089,7,15,70,
YX-9106 - SAPATEIRA,YX-9106,22,35,70,
AL-8381 CAIXA DE SOM PORTÁTIL,AL-8381,60,100,70,7898807283817
SPO-30213 PACOTE DE CARREGAMENTO Á PROVA DE ÁGUA PARA BICICLETA,SPO-30213,25,40,70,7899085714758
"KK-1055 10.5"" LOUSINHA MÁGICA CASINHA","KK-1055 10.5""",22,35,70,70341183588
PEI-236BT - CAIXA DE SOM BLUETOOTH,PEI-236BT,40,60,70,7893008856471
XJ-319 GARRAFA LOVE BABY CHILDREN'S,XJ-319-GARRAFA,30,45,71,1100000107712
WB-028 FONE DE OUVIDO,WB-028,55,90,71,1000000589764
RAD-8631 - MINICAIXA DE SOM C/ ENTRADA P/ MICROFONE,RAD-8631,24,40,71,7908346248472
MOU-11180 - MOUSE C/ FIO INOVA,MOU-11180,7.5,13,71,7899085588199
CELL-11067 - BATERIA LR1130 CARTELA C/10,CELL-11067,5,10,71,7899085489830
KV-11260 POWER BANK 5.000MAH,KV-11260,30,50,71,7898070366316
PEI-223BT - CAIXA DE SOM BLUETOOTH,PEI-223BT,35,50,71,7893008856686
WU-061 GARRAFA DE ÁGUA + TÉRMICA,WU-061,35,55,72,1100000114079
CBO-5866 - CABO DE METAL MAGNETICO 3 EM 1,CBO-5866,13,20,72,7893590428698
MD-12411 POWER BANCK 10.000MAH TURBO TIPO C,MD-12411,57,90,72,7893095423631
"KK-1062 10.5"" LOUSINHA MÁGICA ELEFANTE","KK-1062-10.5""",22,35,72,70341183656
LE-2356 HUMIFICADOR E AROMATIZADOR,LE-2356,25,35,73,7908044605645
CHA-663 MINI CHAPINHA SELADORA DE PLÁSTICO,CHA-663,13,25,73,7908124253049
